             eic_vtx  |              bankid  |                                   eic_vtx bank ID  | 6100   |                  Di  
             eic_vtx  |                  id  |                                         Volume ID  |   90   |                  Di  
             eic_vtx  |                hitn  |                                        hit number  |   99   |                  Di  
             eic_vtx  |                 pid  |                                       Particle ID  |    1   |                  Di  
             eic_vtx  |                mpid  |                                Mother Particle ID  |    2   |                  Di  
             eic_vtx  |                 tid  |                                          track ID  |    3   |                  Di  
             eic_vtx  |                mtid  |                                   mother track ID  |    4   |                  Di  
             eic_vtx  |                otid  |                                 original track id  |    5   |                  Di  
             eic_vtx  |              trackE  |                                           totEdep  |    6   |                  Dd  
             eic_vtx  |             totEdep  |                            Total Energy Deposited  |    7   |                  Dd  
             eic_vtx  |               avg_x  |                         Average global x position  |    8   |                  Dd  
             eic_vtx  |               avg_y  |                         Average global y position  |    9   |                  Dd  
             eic_vtx  |               avg_z  |                         Average global z position  |   10   |                  Dd  
             eic_vtx  |              avg_lx  |                         Average local  x position  |   11   |                  Dd  
             eic_vtx  |              avg_ly  |                         Average local  y position  |   12   |                  Dd  
             eic_vtx  |              avg_lz  |                         Average local  z position  |   13   |                  Dd  
             eic_vtx  |                  px  |                     x component of track momentum  |   14   |                  Dd  
             eic_vtx  |                  py  |                     y component of track momentum  |   15   |                  Dd  
             eic_vtx  |                  pz  |                     z component of track momentum  |   16   |                  Dd  
             eic_vtx  |                  vx  |                    x coordinate of primary vertex  |   17   |                  Dd  
             eic_vtx  |                  vy  |                    y coordinate of primary vertex  |   18   |                  Dd  
             eic_vtx  |                  vz  |                    z coordinate of primary vertex  |   19   |                  Dd  
             eic_vtx  |                 mvx  |                     x coordinate of mother vertex  |   20   |                  Dd  
             eic_vtx  |                 mvy  |                     y coordinate of mother vertex  |   21   |                  Dd  
             eic_vtx  |                 mvz  |                     z coordinate of mother vertex  |   22   |                  Dd  
