det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61300 
det1_tracker_vtxSupp_4  |                root  |        det1_tracker_vtxSupp_4  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         8.82*cm 8.87*cm 24*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61400 
det1_tracker_vtxSupp_5  |                root  |        det1_tracker_vtxSupp_5  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                       13.82*cm 13.87*cm 36*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61500 
det1_tracker_vtxSupp_6  |                root  |        det1_tracker_vtxSupp_6  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                       17.82*cm 17.87*cm 40*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61600 
          Vertex_1_1  |                root  |                    Vertex_1_1  |                                 4.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50101 
          Vertex_1_2  |                root  |                    Vertex_1_2  |      3.65809245230332*cm 1.78416916529836*cm 5*cm  |        0*deg 0*rad 70.9992551328983*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50102 
          Vertex_1_3  |                root  |                    Vertex_1_3  |      2.50574466319339*cm 3.20720184629497*cm 5*cm  |        0*deg 0*rad 44.9985102657966*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50103 
          Vertex_1_4  |                root  |                    Vertex_1_4  |     0.846205159405312*cm 3.98105976194729*cm 5*cm  |        0*deg 0*rad 18.9977653986949*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50104 
          Vertex_1_5  |                root  |                    Vertex_1_5  |    -0.984616060382233*cm 3.94910511554673*cm 5*cm  |       0*deg 0*rad -7.00297946840679*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50105 
          Vertex_1_6  |                root  |                    Vertex_1_6  |     -2.61613959621164*cm 3.11780589728315*cm 5*cm  |       0*deg 0*rad -33.0037243355085*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50106 
          Vertex_1_7  |                root  |                    Vertex_1_7  |     -3.71812620550164*cm 1.65542668818707*cm 5*cm  |       0*deg 0*rad -59.0044692026102*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50107 
          Vertex_1_8  |                root  |                    Vertex_1_8  |   -4.06752104705948*cm -0.142030038119217*cm 5*cm  |       0*deg 0*rad -85.0052140697119*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50108 
          Vertex_1_9  |                root  |                    Vertex_1_9  |    -3.59360256198397*cm -1.91073824123093*cm 5*cm  |       0*deg 0*rad -111.005958936814*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50109 
         Vertex_1_10  |                root  |                   Vertex_1_10  |      -2.3922973355309*cm -3.2926909144971*cm 5*cm  |       0*deg 0*rad -137.006703803915*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50110 
         Vertex_1_11  |                root  |                   Vertex_1_11  |    -0.70676344625729*cm -4.00816484579097*cm 5*cm  |       0*deg 0*rad -163.007448671017*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50111 
         Vertex_1_12  |                root  |                   Vertex_1_12  |     1.12182754274581*cm -3.91233983241958*cm 5*cm  |       0*deg 0*rad -189.008193538119*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50112 
         Vertex_1_13  |                root  |                   Vertex_1_13  |     2.72334765603833*cm -3.02461196591406*cm 5*cm  |        0*deg 0*rad -215.00893840522*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50113 
         Vertex_1_14  |                root  |                   Vertex_1_14  |     3.77363069094056*cm -1.52466763866472*cm 5*cm  |       0*deg 0*rad -241.009683272322*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50114 
          Vertex_2_1  |                root  |                    Vertex_2_1  |                                 5.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50201 
          Vertex_2_2  |                root  |                    Vertex_2_2  |       4.76424209865507*cm 1.7340407219563*cm 5*cm  |        0*deg 0*rad 76.9994270253064*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50202 
          Vertex_2_3  |                root  |                    Vertex_2_3  |      3.88384724836184*cm 3.25893089085856*cm 5*cm  |        0*deg 0*rad 56.9988540506128*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50203 
          Vertex_2_4  |                root  |                    Vertex_2_4  |      2.53500388374774*cm 4.39074655490201*cm 5*cm  |        0*deg 0*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50204 
          Vertex_2_5  |                root  |                    Vertex_2_5  |     0.880402149352197*cm 4.99297426945263*cm 5*cm  |        0*deg 0*rad 16.9977081012255*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50205 
          Vertex_2_6  |                root  |                    Vertex_2_6  |    -0.880388900043539*cm 4.99297660566121*cm 5*cm  |       0*deg 0*rad -3.00286487346808*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50206 
          Vertex_2_7  |                root  |                    Vertex_2_7  |     -2.53499223249857*cm 4.39075328174698*cm 5*cm  |       0*deg 0*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50207 
          Vertex_2_8  |                root  |                    Vertex_2_8  |     -3.88383860048242*cm 3.25894119698451*cm 5*cm  |       0*deg 0*rad -43.0040108228553*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50208 
          Vertex_2_9  |                root  |                    Vertex_2_9  |      -4.76423749720554*cm 1.7340533642944*cm 5*cm  |       0*deg 0*rad -63.0045837975489*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50209 
         Vertex_2_10  |                root  |                   Vertex_2_10  | -5.06999999998215*cm 1.34537002522983e-05*cm 5*cm  |       0*deg 0*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50210 
         Vertex_2_11  |                root  |                   Vertex_2_11  |    -4.76424670007106*cm -1.73402807960599*cm 5*cm  |       0*deg 0*rad -103.005729746936*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50211 
